degree,education,skills,working_experience,position
master,nanjing university,agile;enterprise content management;enterprise search;agile methodologies,emc,manager
master,southwest jiaotong university,leadership;project management;vmware esx;c programming;agile,mountain view data(acquired by 3leaf in 2008);3leaf networks;emc,manager
master,university of essex,change management;incident handling;customer service;leadership;project management,hp;dell;emc,manager
bachelor,fuyang normal college,change management;software quality assurance;test management;requirements analysis;software engineering;quality management;testing;leadership development;device drivers;test automation;technical recruiting;negotiation;operations management;quality assurance;test planning;organizational effectiveness;project management;data-driven decision making,intel corporation;marvell semiconductor;emc,manager
bachelor,university of shanghai for science and technology,agile;cloud computing;software engineering;project management,konami;emc;lsi logic,manager
master,the university of hong kong,cloud computing;project management,oval technologies;microsoft,manager
bachelor,tongji university,leadership;enterprise software;software engineering;agile;web services,sybase;bmi asia (acquired by convergys),manager
master,shanghai jiao tong university,customer satisfaction;hp-ux;san;project management;troubleshooting;incident handling,ibm;emc,manager
master,santa clara university,enterprise software;project management;agile;business development;software engineering,yahoo!;microsoft;splashtop inc (formerly devicevm),manager
bachelor,fudan university,project management;enterprise software,asus;emc,manager
phd,institute of computing technology  chinese academy of sciences,enterprise softare;software engineering;high performance computing;product management,emc,manager
bachelor,"university for science and technology of shanghai		computer science",software engineering;project management,cisco system;vli communication;dextrys,manager
master,southeast university,software engineering;agile;leadership,autodesk;emc,manager
master,the university of manchester,enterprise software;agile;software engineering,odg  london  uk;ig index  london  uk;emc  shanghai  china,manager
bachelor,wuhan university,team building;project management;agile;leadership;software engineering;performance metrics,hp;emc;dragonsoft,manager
master,nanjing university of posts and telecommunications,software engineering;agile;team building;software engineering,huawei;intel;emc,manager
master,xidian university,software engineering;enterprise software;agile,sybase;emc,manager
bachelor,southwest china normal university,project management;agile;software engineering;enterprise software,amazon;sun microsystems;microsoft,manager
master,shanghai jiao tong university,team building;project management;agile;leadership,marvell;s3 graphics;emc,manager
master,harbin institute of technology,release management;test planning;tcp/ip;test automation,china potevio;ibm;wind river,qa
master,institute for technology and management  hyderabad,shell scripting;memory leak & errors;cluster;test planning;test automation,satyam computer services limited;symantec;ibm,qa
bachelor,harbin institute of technology,python;test automation;perl;unix;linux;android;high availability,symantec;ibm,qa
bachelor,chengdu institute of neu,test management;scrum;python;test cases;testing;selenium;regression testing;test automation;test design;certified scrum master csm;shell;sql;linux;test planning,newegg.com;symbio;tieto,qa
master,huazhong university of science and technology,testing;unix;linux;hbase;xml;java;servlets;java enterprise edition;hadoop;ejb;perl;subversion;c#;agile methodologies;flume;hibernate;python;javascript;jsp;sql;activemq;c;tomcat;c++,cienet technologies;thomson reuters,qa
master,harbin institute of technology,software quality assurance;solaris;system testing;shell scripting;cloud computing;testing;test automation;perl;unix;linux;test planning,sun;lenovo;symantec,qa
master,shanghai university,test management;java;qtp;c#;performance testing;programming;test automation;loadrunner;oracle administration;oracle rac;performance tuning;jmeter,industrial and commercial bank of china;hewlett-packard,qa
master,beihang university,xml;flex;java;python;agile;scrum;c++;ant;test automation;plugins;test planning;unit testing;junit,north china institute of computing technology;adobe,qa
